customer_id,order_id,order_date,order_value,category
1,ord_00000001,2025-03-27 00:00:00.000000000,55.66,outdoor
1,ord_00000002,2025-05-09 23:49:48.358167714,47.26,home_goods
1,ord_00000003,2025-07-06 21:43:21.411679806,73.57,electronics_accessories
1,ord_00000004,2025-08-28 20:06:30.893618000,43.91,home_goods
1,ord_00000005,2025-11-03 03:13:10.155249602,52.06,home_goods
1,ord_00000006,2025-12-25 05:01:35.789552567,115.39,home_goods
1,ord_00000007,2026-02-21 09:23:08.364248015,72.6,home_goods
1,ord_00000008,2026-04-21 04:23:01.034758911,19.17,electronics_accessories
1,ord_00000009,2026-06-10 19:28:32.830406012,108.59,apparel
2,ord_00000010,2025-04-10 00:00:00.000000000,53.8,electronics_accessories
3,ord_00000011,2026-02-17 00:00:00.000000000,25.03,outdoor
3,ord_00000012,2026-03-23 13:41:57.360608805,60.06,outdoor
3,ord_00000013,2026-04-22 00:35:57.246306716,55.47,outdoor
3,ord_00000014,2026-05-26 04:56:22.951885502,80.04,home_goods
3,ord_00000015,2026-07-04 18:41:15.111081968,60.1,beauty
3,ord_00000016,2026-08-03 09:34:37.380859571,57.51,electronics_accessories
4,ord_00000017,2025-11-12 00:00:00.000000000,67.55,apparel
4,ord_00000018,2026-01-02 17:09:57.505516967,120.13,electronics_accessories
4,ord_00000019,2026-01-25 22:57:07.232499423,68.68,apparel
4,ord_00000020,2026-02-16 18:03:53.878493586,53.5,apparel
4,ord_00000021,2026-03-19 01:40:25.923576335,48.71,apparel
4,ord_00000022,2026-04-16 18:35:17.844896832,66.08,apparel
4,ord_00000023,2026-05-04 05:41:38.536559650,62.7,beauty
4,ord_00000024,2026-06-10 12:16:58.340487558,33.28,electronics_accessories
4,ord_00000025,2026-07-06 09:15:54.132588724,52.72,outdoor
4,ord_00000026,2026-07-25 10:59:45.286990890,25.36,electronics_accessories
5,ord_00000027,2024-12-05 00:00:00.000000000,65.53,electronics_accessories
6,ord_00000028,2025-06-05 00:00:00.000000000,57.24,outdoor
6,ord_00000029,2025-07-10 20:48:40.409011102,78.36,electronics_accessories
6,ord_00000030,2025-09-10 03:55:25.050607042,128.8,home_goods
6,ord_00000031,2025-10-15 20:46:15.209544586,33.73,beauty
6,ord_00000032,2025-12-05 07:42:09.628192585,30.05,home_goods
6,ord_00000033,2026-01-11 01:43:57.390424197,68.73,home_goods
6,ord_00000034,2026-02-22 21:47:17.781421740,51.99,home_goods
6,ord_00000035,2026-04-15 13:08:56.946881641,28.18,beauty
6,ord_00000036,2026-05-21 13:58:46.428239036,26.78,apparel
6,ord_00000037,2026-07-16 09:46:02.940778214,88.19,outdoor
7,ord_00000038,2025-01-29 00:00:00.000000000,64.42,beauty
7,ord_00000039,2025-03-24 07:33:48.655389913,41.63,home_goods
7,ord_00000040,2025-05-02 15:30:26.189767717,24.45,beauty
7,ord_00000041,2025-05-29 03:17:32.341038664,43.35,home_goods
7,ord_00000042,2025-07-06 04:37:57.983158387,50.82,home_goods
7,ord_00000043,2025-08-08 01:04:20.950845473,48.56,apparel
7,ord_00000044,2025-09-06 14:02:58.302496129,50.75,outdoor
7,ord_00000045,2025-11-22 00:44:33.477983305,31.26,home_goods
7,ord_00000046,2026-01-10 12:27:13.374563919,60.56,beauty
7,ord_00000047,2026-03-02 14:50:40.106998468,27.75,apparel
7,ord_00000048,2026-04-13 04:18:36.794060791,53.48,electronics_accessories
7,ord_00000049,2026-05-26 11:21:40.835464612,72.86,outdoor
7,ord_00000050,2026-07-26 08:57:55.136415651,47.1,beauty
8,ord_00000051,2025-08-31 00:00:00.000000000,34.57,apparel
8,ord_00000052,2025-09-28 20:50:08.990598444,42.96,apparel
8,ord_00000053,2025-10-25 11:14:39.524194070,38.24,outdoor
8,ord_00000054,2025-11-24 18:29:34.403725884,29.26,beauty
8,ord_00000055,2025-12-20 20:54:19.818449521,33.15,beauty
8,ord_00000056,2026-01-21 22:39:49.020585058,60.05,home_goods
8,ord_00000057,2026-02-16 18:06:33.214421672,63.32,beauty
8,ord_00000058,2026-03-20 12:02:18.654256348,54.56,electronics_accessories
8,ord_00000059,2026-04-22 01:54:46.091810612,63.1,outdoor
8,ord_00000060,2026-05-11 18:54:35.470097239,50.98,electronics_accessories
8,ord_00000061,2026-05-26 08:56:04.644967934,52.13,outdoor
8,ord_00000062,2026-07-05 05:38:22.326669013,72.69,outdoor
8,ord_00000063,2026-08-01 07:56:47.994611746,65.21,beauty
9,ord_00000064,2025-08-09 00:00:00.000000000,32.96,electronics_accessories
10,ord_00000065,2025-02-11 00:00:00.000000000,48.72,apparel
11,ord_00000066,2024-11-26 00:00:00.000000000,148.9,beauty
12,ord_00000067,2025-09-25 00:00:00.000000000,41.44,outdoor
12,ord_00000068,2025-11-28 23:15:31.696094361,75.43,electronics_accessories
12,ord_00000069,2026-01-16 12:40:05.936663165,57.95,home_goods
12,ord_00000070,2026-04-21 14:36:26.159612607,47.11,electronics_accessories
12,ord_00000071,2026-06-02 16:55:12.928652319,41.84,outdoor
12,ord_00000072,2026-07-24 16:07:02.560431511,60.17,apparel
13,ord_00000073,2025-05-14 00:00:00.000000000,92.17,beauty
13,ord_00000074,2025-06-01 04:27:27.932546383,201.61,electronics_accessories
13,ord_00000075,2025-07-03 03:26:31.544969536,34.15,outdoor
13,ord_00000076,2025-07-24 18:35:11.970507800,36.3,home_goods
13,ord_00000077,2025-08-18 20:15:13.559479871,28.82,home_goods
13,ord_00000078,2025-09-11 12:26:11.174623066,42.53,home_goods
13,ord_00000079,2025-10-11 13:39:20.767452614,58.41,apparel
13,ord_00000080,2025-10-30 06:51:27.433670986,50.7,electronics_accessories
13,ord_00000081,2025-11-16 18:15:25.574588594,63.68,beauty
13,ord_00000082,2025-12-12 13:40:40.270160321,66.79,apparel
13,ord_00000083,2026-01-10 11:12:00.458880135,142.68,beauty
13,ord_00000084,2026-02-06 03:03:49.967781138,55.55,electronics_accessories
13,ord_00000085,2026-02-25 01:19:09.177752643,29.93,apparel
13,ord_00000086,2026-03-26 14:56:50.326616064,20.69,electronics_accessories
13,ord_00000087,2026-04-14 22:13:47.786371280,46.48,outdoor
13,ord_00000088,2026-05-05 13:27:56.607150876,39.09,outdoor
13,ord_00000089,2026-05-23 17:45:24.307160218,65.01,home_goods
13,ord_00000090,2026-06-28 09:23:27.825243131,71.03,outdoor
13,ord_00000091,2026-07-27 13:42:01.155769263,29.98,apparel
14,ord_00000092,2025-09-08 00:00:00.000000000,84.81,home_goods
14,ord_00000093,2025-10-01 06:20:17.061784326,42.64,apparel
14,ord_00000094,2025-11-08 17:27:51.561463807,61.49,outdoor
14,ord_00000095,2025-12-19 12:01:19.232482214,67.05,beauty
14,ord_00000096,2026-01-26 13:32:57.854437656,73.35,electronics_accessories
14,ord_00000097,2026-02-27 08:59:39.593461981,80.62,outdoor
14,ord_00000098,2026-04-02 21:48:35.353167060,120.2,electronics_accessories
14,ord_00000099,2026-05-11 09:53:29.035444497,32.03,apparel
14,ord_00000100,2026-06-22 03:14:06.514767930,49.68,apparel
15,ord_00000101,2024-08-29 00:00:00.000000000,35.71,electronics_accessories
16,ord_00000102,2026-04-08 00:00:00.000000000,51.75,outdoor
17,ord_00000103,2026-06-15 00:00:00.000000000,55.54,beauty
17,ord_00000104,2026-07-15 08:49:38.416977595,53.27,beauty
18,ord_00000105,2025-01-12 00:00:00.000000000,147.37,beauty
19,ord_00000106,2025-11-24 00:00:00.000000000,47.22,apparel
19,ord_00000107,2025-12-29 10:30:30.863376063,42.42,apparel
19,ord_00000108,2026-01-31 17:14:40.981744665,91.35,apparel
19,ord_00000109,2026-04-20 10:31:33.345029398,24.61,beauty
19,ord_00000110,2026-05-27 13:16:17.799371845,79.15,beauty
19,ord_00000111,2026-07-02 08:24:04.005033008,36.22,home_goods
20,ord_00000112,2024-09-30 00:00:00.000000000,37.59,beauty
20,ord_00000113,2024-10-23 00:43:45.709848242,18.32,outdoor
20,ord_00000114,2024-11-25 05:49:49.446063926,49.73,electronics_accessories
20,ord_00000115,2024-12-12 09:32:04.704935515,85.84,home_goods
20,ord_00000116,2025-01-04 05:20:31.515944491,62.13,apparel
20,ord_00000117,2025-02-01 21:21:56.661172553,59.23,home_goods
20,ord_00000118,2025-02-13 08:24:03.900962445,154.27,outdoor
20,ord_00000119,2025-03-17 06:34:47.867816068,80.28,beauty
20,ord_00000120,2025-04-02 16:39:22.688905091,61.76,apparel
20,ord_00000121,2025-04-28 13:22:31.046380520,87.42,electronics_accessories
20,ord_00000122,2025-05-23 18:24:33.678501185,39.91,beauty
20,ord_00000123,2025-06-25 04:21:15.416174181,88.45,apparel
